TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ,FallCheck
0.01,1,0.005998979651671224,-1.0020001770829539,-0.03899968618188339,-3.4377186790699827,0.9167382670956157,-0.6302435930813682,87.08390804863882,-1.260566169539731,13.189497793228938,0
0.02,2,0.00873559425695861,-0.9995451550695806,-0.04599039160220612,-2.7647486360406166,-0.5162611915534921,0.14068699650543498,87.06479019121396,-1.273953180684996,13.17867704814372,0
0.03,3,0.009004096798888065,-0.9981668441069231,-0.05059828774824373,-2.3058140538434424,-1.3504984367101722,0.5404246787690614,87.0386643433712,-1.2734015062693445,13.165362819784617,0
0.04,4,0.007036288306403521,-0.9981153709721204,-0.052421034332395686,-2.0753871898031817,-1.5272827022983646,0.5169397854078828,87.00501735032657,-1.2568368841904956,13.149314270072434,0
0.05,5,0.005101174524687898,-0.9988194177064986,-0.05276349128782434,-1.922905275905896,-1.4374336701980825,0.2939533071722315,86.9714550338572,-1.2368756487010621,13.132518821905549,0
0.06,6,0.004734346674666144,-0.9995324580553442,-0.05290114402242301,-1.7201529570642298,-1.4280386862216954,0.08700759588014705,86.94693700482316,-1.2280483889834846,13.116837601020112,0
0.0699999999999999,7,0.005464464825023276,-0.9998696691331608,-0.05314089894859293,-1.4650551713367521,-1.537689477162652,-0.05341321927372396,86.93173733970724,-1.228604543330371,13.101934827546538,0
0.08,8,0.0059606399168123676,-0.9998899997867542,-0.053226702069603365,-1.2293807052510346,-1.6242655920085411,-0.1646262486781163,86.91651686175345,-1.2206739252272862,13.086070322879385,0
0.09,9,0.005538110218110994,-0.9999168352102217,-0.05294019382637059,-1.060430502508549,-1.579916908262736,-0.25003773515937666,86.89400165858584,-1.1939628706859398,13.068894448338533,0
0.0999999999999999,10,0.004461995808186819,-1.0003255251188252,-0.052185564622905085,-0.9438565798129566,-1.3980658795262326,-0.270836284766879,86.86920881464928,-1.1636536006648708,13.052676053980056,0
0.11,11,0.0034477907181506566,-1.001283272909164,-0.050926722742641525,-0.8365701059794002,-1.1278057724460582,-0.21080314261979072,86.85311462455805,-1.1531242486362268,13.040123695546653,0
0.12,12,0.003184356414186358,-1.0025182719249344,-0.04933582178505489,-0.7154179611676031,-0.8313721300000452,-0.10395586368112432,86.84627960978844,-1.1580470436791872,13.03117413872102,0
