TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ,FallCheck
0.01,1,-0.007999930806016974,-0.9899998351376331,-0.07399927270305157,-5.5888163086971476e-05,0.17177059199449013,0.11456685231143607,100.06173956912893,-1.1000794316458617,-7.866804395739947,0
0.02,2,-0.002372881560118194,-0.9875193737160084,-0.166721561286545,0.5733826538696912,0.44109385216547575,0.2287339639437024,100.18377823624515,-1.0994675191409646,-7.893343745776188,0
0.03,3,0.0008810951368104473,-0.9865827453831785,-0.2178004189535197,0.8975363552535713,0.6643852284193406,0.2737242856566136,100.10141792407643,-1.1105869231070624,-7.862574297582123,0
0.04,4,0.001502722008601756,-0.9872609083247961,-0.2225891322583359,0.9217812054531587,0.813668267906312,0.25733342820277133,99.78070549164231,-1.135277295849517,-7.764394152343903,0
0.05,5,0.0009634868356176078,-0.9882964953487376,-0.2079145168167034,0.792592580232699,0.8727216935944868,0.2403792240749738,99.40717627975012,-1.1630947108630785,-7.650142197484566,0
0.06,6,0.00048551188027325196,-0.9884137880552649,-0.19882673126220624,0.6905541106698172,0.8440599211260926,0.2568883653149402,99.21311899892709,-1.1810495054584822,-7.585317665765546,0
0.0699999999999999,7,0.0001413973097425297,-0.9872847365574506,-0.20012360964578418,0.6877217069852637,0.777532396422685,0.28533800235228607,99.21188724083551,-1.1873384641565465,-7.575333500886045,0
0.08,8,-0.000223102472602678,-0.9855038402512759,-0.20438331150414984,0.7334303947829999,0.7511941683894272,0.28859546497232175,99.16853630371851,-1.1927331950484998,-7.555801708208182,0
0.09,9,-3.289839815868623e-05,-0.9839378685221654,-0.20608788760349178,0.7417603144810072,0.7911430549746191,0.2590848707576626,98.8965540356604,-1.206972363035229,-7.4738737911720685,0
0.0999999999999999,10,0.0014100059783332672,-0.9830737659802447,-0.20556426758278104,0.68184951483435,0.8395205044665826,0.22451819571744952,98.51596705938924,-1.227170642880527,-7.360775813622908,0
0.11,11,0.0036114255037842423,-0.9828346878058508,-0.20513078457869566,0.5954509227424396,0.834428453544314,0.21967223298606275,98.30281318687102,-1.2427214587978885,-7.29229542217122,0
0.12,12,0.00498677975006598,-0.9828996184694473,-0.20571546545612185,0.5448904631801428,0.7916327320749106,0.25160828486426023,98.2999975950015,-1.2494875057032406,-7.2820732140097215,0
0.13,13,0.004596783276612458,-0.9830788525693391,-0.20667883597244735,0.5459970299019815,0.7645091498458577,0.2897884150215003,98.22652221814552,-1.254578817114193,-7.254897319218805,0
0.14,14,0.0032408238814699277,-0.9833448983106309,-0.2070832861582189,0.5469446352375287,0.747607923047995,0.2941121894989403,97.85258070175162,-1.266248516282964,-7.147648876185199,0
0.15,15,0.002372198181854465,-0.98365159115779,-0.20666576301761191,0.4828214560191196,0.6797361249592028,0.25080401310554523,97.3466376922287,-1.2829648499191415,-7.004533684566958,0
0.16,16,0.0023434803645526804,-0.983908510107146,-0.20601437918298132,0.35634454980674235,0.5443606047717462,0.1767305136036641,97.07631381849929,-1.2958658206399292,-6.924895033236567,0
0.17,17,0.002315423453893636,-0.9841101851039951,-0.20604617926012006,0.2488943180407517,0.4069875528529652,0.09893313660484537,97.081144033143,-1.3004543972465605,-6.920993552250486,0
0.18,18,0.0016875896962657106,-0.984336608685992,-0.2071407640788785,0.24081239019857292,0.32067907564008685,0.04215008850527684,96.95647007059384,-1.3018432776663864,-6.885233349764662,0
0.19,19,0.0009469304049685729,-0.9846181252426887,-0.20859872726147252,0.3266957015068287,0.23679224003801475,0.026467793111318794,96.39009994445532,-1.3077447441608332,-6.733325487606372,0
0.2,20,0.0009319113086927481,-0.9849120540819245,-0.20915304155418374,0.4153975696798989,0.06665873589855792,0.056724445006072,95.65378931362348,-1.3194139635283502,-6.536739035154842,0
0.21,21,0.001653630777268087,-0.9851815887318881,-0.20831359241971129,0.41346655733395965,-0.17612675161604865,0.11074610828549206,95.29445869656436,-1.331283692992701,-6.441284024178428,0
